"id","sire","dam","generation"
"IND0001",NA,NA,1
"IND0002",NA,NA,1
"IND0003",NA,NA,1
"IND0004",NA,NA,1
"IND0005",NA,NA,1
"IND0006",NA,NA,1
"IND0007",NA,NA,1
"IND0008",NA,NA,1
"IND0009",NA,NA,1
"IND0010",NA,NA,1
"IND0011",NA,NA,1
"IND0012",NA,NA,1
"IND0013",NA,NA,1
"IND0014",NA,NA,1
"IND0015",NA,NA,1
"IND0016",NA,NA,1
"IND0017",NA,NA,1
"IND0018",NA,NA,1
"IND0019",NA,NA,1
"IND0020",NA,NA,1
"IND0021",NA,NA,1
"IND0022",NA,NA,1
"IND0023",NA,NA,1
"IND0024",NA,NA,1
"IND0025",NA,NA,1
"IND0026",NA,NA,1
"IND0027",NA,NA,1
"IND0028",NA,NA,1
"IND0029",NA,NA,1
"IND0030",NA,NA,1
"IND0031",NA,NA,1
"IND0032",NA,NA,1
"IND0033",NA,NA,1
"IND0034",NA,NA,1
"IND0035",NA,NA,1
"IND0036",NA,NA,1
"IND0037",NA,NA,1
"IND0038",NA,NA,1
"IND0039",NA,NA,1
"IND0040",NA,NA,1
"IND0041",NA,NA,1
"IND0042",NA,NA,1
"IND0043",NA,NA,1
"IND0044",NA,NA,1
"IND0045",NA,NA,1
"IND0046",NA,NA,1
"IND0047",NA,NA,1
"IND0048",NA,NA,1
"IND0049",NA,NA,1
"IND0050",NA,NA,1
"IND0051",NA,NA,1
"IND0052",NA,NA,1
"IND0053",NA,NA,1
"IND0054",NA,NA,1
"IND0055",NA,NA,1
"IND0056",NA,NA,1
"IND0057",NA,NA,1
"IND0058",NA,NA,1
"IND0059",NA,NA,1
"IND0060",NA,NA,1
"IND0061",NA,NA,1
"IND0062",NA,NA,1
"IND0063",NA,NA,1
"IND0064",NA,NA,1
"IND0065",NA,NA,1
"IND0066",NA,NA,1
"IND0067",NA,NA,1
"IND0068",NA,NA,1
"IND0069",NA,NA,1
"IND0070",NA,NA,1
"IND0071",NA,NA,1
"IND0072",NA,NA,1
"IND0073",NA,NA,1
"IND0074",NA,NA,1
"IND0075",NA,NA,1
"IND0076",NA,NA,1
"IND0077",NA,NA,1
"IND0078",NA,NA,1
"IND0079",NA,NA,1
"IND0080",NA,NA,1
"IND0081",NA,NA,1
"IND0082",NA,NA,1
"IND0083",NA,NA,1
"IND0084",NA,NA,1
"IND0085",NA,NA,1
"IND0086",NA,NA,1
"IND0087",NA,NA,1
"IND0088",NA,NA,1
"IND0089",NA,NA,1
"IND0090",NA,NA,1
"IND0091",NA,NA,1
"IND0092",NA,NA,1
"IND0093",NA,NA,1
"IND0094",NA,NA,1
"IND0095",NA,NA,1
"IND0096",NA,NA,1
"IND0097",NA,NA,1
"IND0098",NA,NA,1
"IND0099",NA,NA,1
"IND0100",NA,NA,1
"IND0101","IND0037","IND0099",1
"IND0102","IND0069","IND0058",1
"IND0103","IND0049","IND0039",1
"IND0104","IND0011","IND0089",1
"IND0105","IND0052","IND0058",1
"IND0106","IND0078","IND0030",1
"IND0107","IND0058","IND0063",1
"IND0108","IND0087","IND0008",1
"IND0109","IND0037","IND0107",1
"IND0110","IND0088","IND0013",1
"IND0111","IND0021","IND0039",1
"IND0112","IND0021","IND0001",1
"IND0113","IND0018","IND0002",1
"IND0114","IND0018","IND0031",1
"IND0115","IND0104","IND0084",1
