individual_id,family_id,population_type,sire,dam,generation
IND00001,F001,reference,NA,NA,1
IND00002,F002,reference,NA,NA,1
IND00003,F003,reference,NA,NA,1
IND00004,F004,reference,NA,NA,1
IND00005,F005,reference,NA,NA,1
IND00006,F006,reference,NA,NA,1
IND00007,F007,reference,NA,NA,1
IND00008,F008,reference,NA,NA,1
IND00009,F009,reference,NA,NA,1
IND00010,F010,reference,NA,NA,1
IND00011,F011,reference,NA,NA,1
IND00012,F012,reference,NA,NA,1
IND00013,F013,reference,NA,NA,1
IND00014,F014,reference,NA,NA,1
IND00015,F015,reference,NA,NA,1
IND00016,F016,reference,NA,NA,1
IND00017,F017,reference,NA,NA,1
IND00018,F018,reference,NA,NA,1
IND00019,F019,reference,NA,NA,1
IND00020,F020,reference,NA,NA,1
IND00021,F021,reference,NA,NA,1
IND00022,F022,reference,NA,NA,1
IND00023,F023,reference,NA,NA,1
IND00024,F024,reference,NA,NA,1
IND00025,F025,reference,NA,NA,1
IND00026,F026,reference,NA,NA,1
IND00027,F027,reference,NA,NA,1
IND00028,F028,reference,NA,NA,1
IND00029,F029,reference,NA,NA,1
IND00030,F030,reference,NA,NA,1
IND00031,F031,reference,NA,NA,1
IND00032,F032,reference,NA,NA,1
IND00033,F033,reference,NA,NA,1
IND00034,F034,reference,NA,NA,1
IND00035,F035,reference,NA,NA,1
IND00036,F036,reference,NA,NA,1
IND00037,F037,reference,NA,NA,1
IND00038,F038,reference,NA,NA,1
IND00039,F039,reference,NA,NA,1
IND00040,F040,reference,NA,NA,1
IND00041,F041,reference,NA,NA,1
IND00042,F042,reference,NA,NA,1
IND00043,F043,reference,NA,NA,1
IND00044,F044,reference,NA,NA,1
IND00045,F045,reference,NA,NA,1
IND00046,F046,reference,NA,NA,1
IND00047,F047,reference,NA,NA,1
IND00048,F048,reference,NA,NA,1
IND00049,F049,reference,NA,NA,1
IND00050,F050,reference,NA,NA,1
IND00051,F051,reference,NA,NA,1
IND00052,F052,reference,NA,NA,1
IND00053,F053,reference,NA,NA,1
IND00054,F054,reference,NA,NA,1
IND00055,F055,reference,NA,NA,1
IND00056,F056,reference,NA,NA,1
IND00057,F057,reference,NA,NA,1
IND00058,F058,reference,NA,NA,1
IND00059,F059,reference,NA,NA,1
IND00060,F060,reference,NA,NA,1
IND00061,F061,reference,NA,NA,1
IND00062,F062,reference,NA,NA,1
IND00063,F063,reference,NA,NA,1
IND00064,F064,reference,NA,NA,1
IND00065,F065,reference,NA,NA,1
IND00066,F066,reference,NA,NA,1
IND00067,F067,reference,NA,NA,1
IND00068,F068,reference,NA,NA,1
IND00069,F069,reference,NA,NA,1
IND00070,F070,reference,NA,NA,1
IND00071,F071,reference,NA,NA,1
IND00072,F072,reference,NA,NA,1
IND00073,F073,reference,NA,NA,1
IND00074,F074,reference,NA,NA,1
IND00075,F075,reference,NA,NA,1
IND00076,F076,reference,NA,NA,1
IND00077,F077,reference,NA,NA,1
IND00078,F078,reference,NA,NA,1
IND00079,F079,reference,NA,NA,1
IND00080,F080,reference,NA,NA,1
IND00081,F081,reference,NA,NA,1
IND00082,F082,reference,NA,NA,1
IND00083,F083,reference,NA,NA,1
IND00084,F084,reference,NA,NA,1
IND00085,F085,reference,NA,NA,1
IND00086,F086,reference,NA,NA,1
IND00087,F087,reference,NA,NA,1
IND00088,F088,reference,NA,NA,1
IND00089,F089,reference,NA,NA,1
IND00090,F090,reference,NA,NA,1
IND00091,F091,reference,NA,NA,1
IND00092,F092,reference,NA,NA,1
IND00093,F093,reference,NA,NA,1
IND00094,F094,reference,NA,NA,1
IND00095,F095,reference,NA,NA,1
IND00096,F096,reference,NA,NA,1
IND00097,F097,reference,NA,NA,1
IND00098,F098,reference,NA,NA,1
IND00099,F099,reference,NA,NA,1
IND00100,F100,reference,NA,NA,1
IND00101,F016,reference,IND00016,IND00031,1
IND00102,F031,reference,IND00031,IND00027,1
IND00103,F088,reference,IND00088,IND00029,1
IND00104,F037,reference,IND00037,IND00087,1
IND00105,F098,reference,IND00098,IND00049,1
IND00106,F081,reference,IND00081,IND00003,1
IND00107,F041,reference,IND00041,IND00050,1
IND00108,F074,reference,IND00074,IND00105,1
IND00109,F001,reference,IND00001,IND00024,1
IND00110,F044,reference,IND00044,IND00063,1
IND00111,F046,reference,IND00046,IND00062,1
IND00112,F016,reference,IND00101,IND00058,1
IND00113,F020,reference,IND00020,IND00032,1
IND00114,F029,reference,IND00029,IND00107,1
IND00115,F037,reference,IND00104,IND00029,1
IND00116,F023,reference,IND00023,IND00109,1
IND00117,F001,reference,IND00001,IND00022,1
IND00118,F031,reference,IND00031,IND00092,1
IND00119,F018,reference,IND00018,IND00071,1
IND00120,F046,reference,IND00046,IND00047,1
IND00121,F049,reference,IND00049,IND00002,1
IND00122,F039,reference,IND00039,IND00081,1
IND00123,F100,reference,IND00100,IND00108,1
IND00124,F091,reference,IND00091,IND00087,1
IND00125,F026,reference,IND00026,IND00010,1
IND00126,F088,reference,IND00103,IND00043,1
IND00127,F095,reference,IND00095,IND00099,1
IND00128,F091,reference,IND00124,IND00019,1
IND00129,F046,reference,IND00111,IND00001,1
IND00130,F025,reference,IND00025,IND00057,1
IND00131,F048,reference,IND00048,IND00101,1
IND00132,F096,reference,IND00096,IND00022,1
