"id","sex","y_bin_qtl_snp","y_bin_qtl_mh","tbv_qtl_snp","tbv_qtl_mh"
"IND001","M",0,1,-1.74074179484771,-0.517921908800993
"IND002","F",0,0,-1.88185741296409,0.127709931077596
"IND003","M",0,0,-2.30370598121553,-0.333156504408602
"IND004","M",1,0,-0.369725804862786,-1.15673994520763
"IND005","M",0,0,-1.41703102384693,0.0313636284346683
"IND006","F",0,0,-1.50136271744914,1.01753249881962
"IND007","F",0,1,-0.525005290855687,1.25600865870318
"IND008","F",0,0,-0.661780081361944,0.207798680776153
"IND009","F",0,0,0.098698807836081,1.37121869387569
"IND010","M",0,1,-0.599346499177452,0.441385628528967
"IND011","F",1,1,-1.19771335561084,0.206372333941857
"IND012","M",0,0,-1.54335524155175,-0.519266523874714
"IND013","F",0,0,-1.10635650916225,-0.505693541953603
"IND014","F",1,0,0.0339358739448926,-0.439180628865308
"IND015","M",0,0,-2.29321407544872,-0.716243191593001
"IND016","M",1,0,-1.22879341157876,-0.591171991950036
"IND017","F",0,1,-1.261996195703,-0.535704615378473
"IND018","M",0,1,0.26052553432115,1.20617645779127
"IND019","M",0,1,-0.872633558034302,-0.703597875336506
"IND020","M",0,1,-0.318915653813799,-0.106030156553174
"IND021","M",1,0,0.354252413574176,-0.525913536586449
"IND022","F",0,1,-0.511327862514488,0.409263542265938
"IND023","M",0,0,-1.51195033777948,-0.21851321049186
"IND024","F",0,0,0.335969399161385,0.772905090732709
"IND025","F",1,0,1.11279923207894,-0.367079657328982
"IND026","M",1,0,0.163516757209803,0.313483230708307
"IND027","F",0,0,-0.235703568082785,-0.103115613992466
"IND028","F",0,1,0.316326153369205,-0.167643142263517
"IND029","M",0,1,-0.74404524556845,0.591292173827559
"IND030","M",0,1,-0.480246233529367,0.0964802519404098
"IND031","F",1,1,0.569506315902515,1.09681882829831
"IND032","F",1,1,0.859786159234309,-0.522613766899964
"IND033","F",1,1,1.04927424696877,0.51724775953153
"IND034","F",1,0,-0.574578675770136,0.515312412495152
"IND035","M",0,0,-0.660279591173231,-1.96360116951731
"IND036","F",0,0,-1.18669510696627,-1.29566763837484
"IND037","F",1,0,-0.519753067423683,-0.412616858230377
"IND038","M",1,0,0.117162179216464,-0.718021448798762
"IND039","M",0,1,-1.15859489238367,1.40156930236651
"IND040","F",0,0,-0.989207560539237,-1.96078823989003
"IND041","M",1,1,-0.3141815515082,0.111009763643328
"IND042","F",1,0,1.08230866330715,-0.587804156704818
"IND043","M",1,0,0.75596520713564,-1.76143830724293
"IND044","M",1,0,0.494521278577278,-1.9516485476448
"IND045","M",1,1,0.964500096872344,-0.564998451679621
"IND046","M",1,0,0.506523764116484,-0.956354370368682
"IND047","F",0,0,-0.000188390818152927,-1.7834758224941
"IND048","M",1,0,0.838644755624187,-1.96730020997079
"IND049","F",0,0,0.811365212295654,-2.27361598437866
"IND050","F",1,0,1.29038853968126,-0.0324610272296076
"IND051","F",1,0,1.03919392270554,-1.58039852329296
"IND052","M",0,1,-0.753590678871486,-0.287605724191642
"IND053","M",0,0,-1.14204113093664,0.942711725594652
"IND054","F",1,0,0.381527639386645,-0.558807917454624
"IND055","F",0,1,-0.19002453929493,-1.09364109643896
"IND056","M",0,0,-0.523133154692053,-1.58241064366681
"IND057","M",0,1,0.222682834091414,-0.791063180616222
"IND058","F",1,0,0.778061934014027,-0.559789054106291
"IND059","F",0,0,0.938483338326804,-0.447134340272443
"IND060","F",0,0,-1.35739296768693,-0.840990569458341
"IND061","M",1,1,0.292502652783594,0.228497042303635
"IND062","F",0,0,-0.52618206943203,-0.919628989818243
"IND063","M",0,0,-1.8227794921026,-0.174794411869985
"IND064","F",0,0,-0.104813229012103,-0.711366579712711
"IND065","M",1,1,-0.636702117789486,-0.149891241648702
"IND066","M",0,0,-0.678585658089608,-0.989692915418374
"IND067","M",0,1,0.33354235391719,0.382218584503384
"IND068","F",0,1,-0.566235714036312,1.15490967854506
"IND069","F",0,0,-1.45815313926399,-0.0139582693077806
"IND070","M",1,1,-0.377258712630526,0.148440889659861
"IND071","M",1,1,-0.392344914341828,1.32233401749309
"IND072","F",0,0,-1.11636669360742,0.710777852117518
"IND073","M",0,0,-1.41579815615804,0.092777636096214
"IND074","M",0,1,-0.629480238611609,0.448379260888085
"IND075","M",0,1,-1.20837508503366,-0.325071830273482
"IND076","M",1,0,-0.0769057872897536,0.106838243911068
"IND077","F",0,0,0.0913428242848625,0.32581344224021
"IND078","F",0,0,0.143584949506716,0.371109856870037
"IND079","F",0,0,-0.945529468351476,-0.233628299713312
"IND080","M",1,1,-0.171035029399088,0.754281967171192
"IND081","F",0,1,0.123699308144704,0.366668673580331
"IND082","F",0,1,0.548942797439668,0.348898610876065
"IND083","M",1,0,0.959819105119759,-0.185666070511653
"IND084","F",0,0,1.66308215780593,-0.0498577785525515
"IND085","M",1,1,-0.0275172373372478,0.926339206821738
"IND086","F",1,1,1.75704206713815,0.282305917709853
"IND087","F",1,0,1.68991337360717,0.596676143120586
"IND088","F",1,1,0.702193419086832,2.6040820106809
"IND089","F",0,1,0.207993763328058,0.870368554129772
"IND090","M",1,1,1.25317695723051,0.806811621363789
"IND091","F",1,1,0.827096056390584,-0.184257900492461
"IND092","M",1,1,1.03431441059453,0.355289153156656
"IND093","M",1,1,1.31246766954545,3.91346047976724
"IND094","M",1,1,0.730352369988479,1.25322820768928
"IND095","M",1,1,1.18941007496515,0.747253181881498
"IND096","F",0,1,-0.0968570158643917,1.05867660103534
"IND097","M",1,0,1.06260705705589,-0.00702960350680308
"IND098","F",1,0,1.57383877890733,0.469491580148636
"IND099","M",1,1,1.52153106647285,1.53071314254358
"IND100","F",1,1,1.18941007496515,0.683690020939787
"IND101","M",1,0,1.83833978683181,-0.498597343187665
"IND102","F",1,1,1.2254470881788,-0.0432459901196309
"IND103","M",0,0,1.46418903280264,-0.401512984224864
"IND104","F",1,1,0.611472295979075,0.48137880301287
"IND105","M",1,1,1.15480224140665,0.823074431937579
"IND106","F",1,1,0.769754022720376,0.879331518368066
"IND107","M",1,1,1.09227514729184,0.162719825111969
"IND108","M",1,1,1.04882239163089,0.971785297690671
"IND109","F",0,0,0.183705066530248,-0.273300109385548
"IND110","M",1,1,0.97451029114505,-0.303585886473193
"IND111","M",1,1,0.683276839860411,-0.152310303035173
"IND112","F",0,0,1.35762010376292,-0.592551730576684
"IND113","M",1,0,0.479732881016204,-0.305056526075917
"IND114","F",1,0,0.200411659007985,0.400185394466916
"IND115","M",1,1,0.129539234712132,-0.47719575299235
"IND116","F",1,0,1.63563625752613,-0.61199247801143
"IND117","F",1,0,1.49841146055887,-0.654431064383345
"IND118","F",1,1,0.78678608881304,1.04503239856161
"IND119","F",0,0,0.823986318143957,0.219237306948061
"IND120","M",1,1,1.15639468805156,-0.366959417528623
"IND121","F",0,0,-0.758640653651746,-1.28928885441134
"IND122","M",0,1,-1.8783085334092,-0.454045931931756
"IND123","M",1,1,-0.09239448166498,-0.733725170854502
"IND124","M",1,1,-1.13768155777753,-0.845977651925373
"IND125","M",1,1,-0.393467700332841,-0.0340165332436995
"IND126","M",0,1,-1.07947010001592,0.215891603367904
"IND127","M",0,0,-0.973934179335158,-2.37550974869948
"IND128","M",0,1,-1.70154693385536,0.739337818606284
"IND129","F",0,0,-0.359446598548517,-0.494615641036381
"IND130","M",0,1,-1.55182411905535,-0.392464343710272
"IND131","M",1,0,-0.155335042065181,-1.07070935541317
"IND132","M",0,0,-2.45948817686656,-1.40473754553517
"IND133","M",0,1,-2.26238564927066,-1.71140919988384
"IND134","M",0,0,-0.731483312481234,-1.32535072170361
"IND135","M",0,0,-0.769670397108223,-2.47040475174977
"IND136","M",0,0,-1.54080033132248,-1.97767043574651
"IND137","F",0,0,-2.00999525734786,-1.906044094283
"IND138","F",0,0,-2.07371448615432,-1.18319652923321
"IND139","F",0,0,-1.13846634141742,-1.32046276356021
"IND140","F",1,0,-0.513004377908592,-1.90117434673403
"IND141","M",1,1,0.164026136606298,-1.1454321766049
"IND142","F",0,1,0.15188026811939,0.355784229615365
"IND143","M",1,1,1.04956208006809,1.00405720418657
"IND144","F",1,0,-0.602962594567614,0.109287197056413
"IND145","F",0,0,-1.88579699514168,0.649709238268819
"IND146","F",1,0,0.0382771129949872,0.188905822705141
"IND147","M",0,1,-0.163992827183889,-0.498228660528606
"IND148","F",0,1,-0.498512757000977,0.800100658747007
"IND149","F",1,1,1.08070766581419,2.68812760095407
"IND150","F",0,1,0.408056006265661,0.442113660652209
"IND151","F",1,1,0.0124490282810339,1.81824577313927
"IND152","M",1,1,-0.49316100906992,0.750747141956832
"IND153","F",0,0,0.4662247488978,-0.564928262224921
"IND154","M",1,1,0.855942705694752,0.656545816568409
"IND155","F",0,0,-0.606549799622583,0.197199382505301
"IND156","F",0,1,-1.53788209890321,0.660072106834849
"IND157","F",0,0,-0.584422660041394,-1.50878454837075
"IND158","F",0,0,-0.153105021892348,0.00593086852888729
"IND159","F",1,1,0.454229891183826,0.445772620005841
"IND160","M",1,1,-0.803509927302199,0.792295917162071
"IND161","F",0,0,-0.512720290216321,-0.422569235963688
"IND162","M",1,1,1.67077237003768,0.326251421554746
"IND163","F",1,0,1.34587693751546,-0.85067206149742
"IND164","F",1,0,1.09943798493672,-0.348385635403631
"IND165","F",1,0,1.84997896879792,-0.389960329205374
"IND166","F",1,0,0.260962720076368,-0.999901968972269
"IND167","M",1,1,0.932739356262329,-0.191831287036915
"IND168","M",1,0,0.918649783939684,-0.0463690606416189
"IND169","M",0,0,0.56232153620006,-1.06926871196788
"IND170","M",1,1,1.09638441049818,0.321381019537181
"IND171","M",1,0,0.247367840485575,-0.297627164815535
"IND172","M",1,1,0.825504915922787,-0.155053955578854
"IND173","F",1,0,0.51433223845227,-0.610956603373772
"IND174","M",0,1,0.210800505425424,1.5300522348822
"IND175","M",0,1,0.398856300069343,-0.784336701289097
"IND176","F",1,0,-0.433549131465416,0.413432934783824
"IND177","M",1,1,-0.0121721099864546,-0.0463705517011016
"IND178","F",0,0,0.249988413959737,0.459524609629296
"IND179","F",0,1,0.0676445699913226,1.8389465115443
"IND180","M",1,0,1.12115607772364,-0.0274923168742387
"IND181","M",0,0,0.00951689964978401,-0.765740349377219
"IND182","F",0,1,0.442604050296189,1.30076107688198
"IND183","M",0,1,0.272589329790972,1.72382906786944
"IND184","F",1,0,0.692881329271715,-0.356798074918266
"IND185","F",0,1,-1.36526338450453,1.76469367182458
"IND186","M",0,1,-0.0149744706010239,0.937780888218107
"IND187","M",1,1,0.821344027116878,1.2102352340475
"IND188","M",1,1,1.73760027610212,1.15674105118486
"IND189","F",0,1,0.75514029379048,1.41776172142944
"IND190","M",0,1,-0.476830502193416,0.397115173668769
"IND191","F",1,1,0.962469718982914,1.5086854113775
"IND192","F",0,0,-0.6219104495316,1.45541155618599
"IND193","M",0,1,-0.794069947663725,0.191383887126542
"IND194","F",1,0,0.363880105476989,0.708496919493018
"IND195","F",1,1,-0.559885608426616,0.523787355926961
"IND196","M",1,1,0.853594950254774,-0.304269248865076
"IND197","F",0,1,-1.22218746141468,1.42200381153239
"IND198","F",1,0,0.850766560472802,0.0658563077319036
"IND199","F",1,1,0.458185342400083,2.77979154839763
"IND200","M",1,1,1.87830629666628,0.451797872810881
