"id","sex","age","y_continuous","y_binary"
"IND0001","M",1,1.5131,1
"IND0002","F",5,0.7304,1
"IND0003","M",3,-4.0185,0
"IND0004","F",3,-0.7491,0
"IND0005","F",4,1.4053,1
"IND0006","M",3,1.9644,1
"IND0007","F",1,0.1062,1
"IND0008","M",4,-2.323,0
"IND0009","F",4,-0.6961,0
"IND0010","M",1,-0.8531,0
"IND0011","M",2,0.8005,1
"IND0012","F",1,0.8368,1
"IND0013","F",1,0.7622,1
"IND0014","M",2,-2.2979,0
"IND0015","F",1,0.8188,1
"IND0016","F",1,2.2515,1
"IND0017","F",3,0.9016,1
"IND0018","M",1,-0.0429,1
"IND0019","F",4,-0.7966,0
"IND0020","M",4,1.2109,1
"IND0021","F",2,-0.6523,0
"IND0022","F",2,-6.6868,0
"IND0023","F",4,0.4418,1
"IND0024","M",4,2.4515,1
"IND0025","F",2,0.4822,1
"IND0026","F",3,1.391,1
"IND0027","F",3,0.046,1
"IND0028","F",2,2.7832,1
"IND0029","F",5,-0.3811,0
"IND0030","F",3,-1.9501,0
"IND0031","F",2,0.4202,1
"IND0032","F",5,2.3345,1
"IND0033","F",5,-1.7533,0
"IND0034","M",3,1.7811,1
"IND0035","M",1,0.08,1
"IND0036","M",5,-2.6217,0
"IND0037","M",2,1.8103,1
"IND0038","F",4,-0.0319,1
"IND0039","F",4,0.0447,1
"IND0040","M",2,-0.905,0
"IND0041","M",3,0.2423,1
"IND0042","M",1,0.6929,1
"IND0043","F",3,0.4309,1
"IND0044","F",1,0.3794,1
"IND0045","M",2,0.0854,1
"IND0046","M",5,-0.0423,1
"IND0047","M",1,1.7352,1
"IND0048","M",5,0.7958,1
"IND0049","F",4,1.6016,1
"IND0050","F",1,0.2748,1
"IND0051","F",5,-0.3183,0
"IND0052","M",4,1.2438,1
"IND0053","M",3,0.742,1
"IND0054","M",1,1.1209,1
"IND0055","F",4,1.9385,1
"IND0056","F",3,0.3295,1
"IND0057","M",5,-1.4735,0
"IND0058","M",3,0.069,1
"IND0059","F",3,-0.1284,0
"IND0060","M",2,-0.2355,0
"IND0061","M",1,-0.709,0
"IND0062","F",2,1.5599,1
"IND0063","F",1,-0.4868,0
"IND0064","M",4,0.3319,1
"IND0065","M",4,0.3811,1
"IND0066","M",1,0.0248,1
"IND0067","F",5,3.2717,1
"IND0068","F",5,0.5504,1
"IND0069","M",1,0.3522,1
"IND0070","F",5,1.3001,1
"IND0071","F",1,-0.5117,0
"IND0072","F",3,3.8881,1
"IND0073","M",1,-1.3367,0
"IND0074","F",3,1.1258,1
"IND0075","M",5,-0.3767,0
"IND0076","F",3,-0.138,0
"IND0077","M",2,-0.281,0
"IND0078","F",5,0.1493,1
"IND0079","F",5,1.8444,1
"IND0080","M",3,-2.1656,0
"IND0081","F",4,0.8127,1
"IND0082","M",5,4.1338,1
