"id","sire","dam","generation"
"IND0001",NA,NA,1
"IND0002",NA,NA,1
"IND0003",NA,NA,1
"IND0004",NA,NA,1
"IND0005",NA,NA,1
"IND0006",NA,NA,1
"IND0007",NA,NA,1
"IND0008",NA,NA,1
"IND0009",NA,NA,1
"IND0010",NA,NA,1
"IND0011",NA,NA,1
"IND0012",NA,NA,1
"IND0013",NA,NA,1
"IND0014",NA,NA,1
"IND0015",NA,NA,1
"IND0016",NA,NA,1
"IND0017",NA,NA,1
"IND0018",NA,NA,1
"IND0019",NA,NA,1
"IND0020",NA,NA,1
"IND0021",NA,NA,1
"IND0022",NA,NA,1
"IND0023",NA,NA,1
"IND0024",NA,NA,1
"IND0025",NA,NA,1
"IND0026",NA,NA,1
"IND0027",NA,NA,1
"IND0028",NA,NA,1
"IND0029",NA,NA,1
"IND0030",NA,NA,1
"IND0031",NA,NA,1
"IND0032",NA,NA,1
"IND0033",NA,NA,1
"IND0034",NA,NA,1
"IND0035",NA,NA,1
"IND0036",NA,NA,1
"IND0037",NA,NA,1
"IND0038",NA,NA,1
"IND0039",NA,NA,1
"IND0040",NA,NA,1
"IND0041",NA,NA,1
"IND0042",NA,NA,1
"IND0043",NA,NA,1
"IND0044",NA,NA,1
"IND0045",NA,NA,1
"IND0046",NA,NA,1
"IND0047",NA,NA,1
"IND0048",NA,NA,1
"IND0049",NA,NA,1
"IND0050",NA,NA,1
"IND0051","IND0021","IND0002",2
"IND0052","IND0042","IND0033",2
"IND0053","IND0022","IND0009",2
"IND0054","IND0026","IND0009",2
"IND0055","IND0048","IND0039",2
"IND0056","IND0040","IND0032",2
"IND0057","IND0005","IND0031",2
"IND0058","IND0008","IND0050",2
"IND0059","IND0004","IND0016",2
"IND0060","IND0053","IND0010",2
"IND0061","IND0006","IND0045",2
"IND0062","IND0044","IND0037",2
"IND0063","IND0055","IND0041",2
"IND0064","IND0056","IND0009",2
"IND0065","IND0029","IND0060",2
"IND0066","IND0005","IND0036",2
"IND0067","IND0062","IND0046",2
"IND0068","IND0013","IND0023",2
"IND0069","IND0008","IND0058",2
"IND0070","IND0016","IND0062",2
"IND0071","IND0043","IND0070",2
"IND0072","IND0032","IND0071",2
"IND0073","IND0009","IND0021",2
"IND0074","IND0072","IND0004",2
"IND0075","IND0044","IND0034",2
"IND0076","IND0035","IND0026",2
"IND0077","IND0038","IND0046",2
"IND0078","IND0057","IND0069",2
"IND0079","IND0027","IND0033",2
"IND0080","IND0024","IND0043",2
"IND0081","IND0074","IND0066",2
"IND0082","IND0070","IND0049",2
"IND0083","IND0022","IND0006",2
"IND0084","IND0075","IND0002",2
"IND0085","IND0008","IND0071",2
"IND0086","IND0023","IND0020",2
"IND0087","IND0064","IND0035",2
"IND0088","IND0045","IND0047",2
"IND0089","IND0042","IND0007",2
"IND0090","IND0046","IND0027",2
"IND0091","IND0057","IND0043",2
"IND0092","IND0027","IND0023",2
"IND0093","IND0064","IND0051",2
"IND0094","IND0092","IND0087",2
"IND0095","IND0053","IND0051",2
"IND0096","IND0041","IND0008",2
"IND0097","IND0023","IND0091",2
"IND0098","IND0020","IND0065",2
"IND0099","IND0058","IND0065",2
"IND0100","IND0054","IND0099",2
"IND0101","IND0028","IND0098",3
"IND0102","IND0082","IND0015",3
"IND0103","IND0082","IND0034",3
"IND0104","IND0054","IND0094",3
