individual_id,family_id,population_type,sire,dam,generation
IND00001,F001,reference,NA,NA,1
IND00002,F002,reference,NA,NA,1
IND00003,F003,reference,NA,NA,1
IND00004,F004,reference,NA,NA,1
IND00005,F005,reference,NA,NA,1
IND00006,F006,reference,NA,NA,1
IND00007,F007,reference,NA,NA,1
IND00008,F008,reference,NA,NA,1
IND00009,F009,reference,NA,NA,1
IND00010,F010,reference,NA,NA,1
IND00011,F011,reference,NA,NA,1
IND00012,F012,reference,NA,NA,1
IND00013,F013,reference,NA,NA,1
IND00014,F014,reference,NA,NA,1
IND00015,F015,reference,NA,NA,1
IND00016,F016,reference,NA,NA,1
IND00017,F017,reference,NA,NA,1
IND00018,F018,reference,NA,NA,1
IND00019,F019,reference,NA,NA,1
IND00020,F020,reference,NA,NA,1
IND00021,F021,reference,NA,NA,1
IND00022,F022,reference,NA,NA,1
IND00023,F023,reference,NA,NA,1
IND00024,F024,reference,NA,NA,1
IND00025,F025,reference,NA,NA,1
IND00026,F026,reference,NA,NA,1
IND00027,F027,reference,NA,NA,1
IND00028,F028,reference,NA,NA,1
IND00029,F029,reference,NA,NA,1
IND00030,F030,reference,NA,NA,1
IND00031,F031,reference,NA,NA,1
IND00032,F032,reference,NA,NA,1
IND00033,F033,reference,NA,NA,1
IND00034,F034,reference,NA,NA,1
IND00035,F035,reference,NA,NA,1
IND00036,F036,reference,NA,NA,1
IND00037,F037,reference,NA,NA,1
IND00038,F038,reference,NA,NA,1
IND00039,F039,reference,NA,NA,1
IND00040,F040,reference,NA,NA,1
IND00041,F041,reference,NA,NA,1
IND00042,F042,reference,NA,NA,1
IND00043,F043,reference,NA,NA,1
IND00044,F044,reference,NA,NA,1
IND00045,F045,reference,NA,NA,1
IND00046,F046,reference,NA,NA,1
IND00047,F047,reference,NA,NA,1
IND00048,F048,reference,NA,NA,1
IND00049,F049,reference,NA,NA,1
IND00050,F050,reference,NA,NA,1
IND00051,F013,reference,IND00013,IND00022,2
IND00052,F001,reference,IND00001,IND00033,2
IND00053,F021,reference,IND00021,IND00020,2
IND00054,F043,reference,IND00043,IND00027,2
IND00055,F049,reference,IND00049,IND00011,2
IND00056,F043,reference,IND00054,IND00049,2
IND00057,F009,reference,IND00009,IND00016,2
IND00058,F025,reference,IND00025,IND00023,2
IND00059,F050,reference,IND00050,IND00016,2
IND00060,F043,reference,IND00054,IND00047,2
IND00061,F012,reference,IND00012,IND00020,2
IND00062,F037,reference,IND00037,IND00015,2
IND00063,F033,reference,IND00033,IND00057,2
IND00064,F004,reference,IND00004,IND00023,2
IND00065,F012,reference,IND00061,IND00033,2
IND00066,F033,reference,IND00063,IND00064,2
IND00067,F006,reference,IND00006,IND00023,2
IND00068,F029,reference,IND00029,IND00001,2
IND00069,F033,reference,IND00033,IND00015,2
IND00070,F050,reference,IND00059,IND00047,2
IND00071,F041,reference,IND00041,IND00030,2
IND00072,F029,reference,IND00029,IND00062,2
IND00073,F033,reference,IND00033,IND00024,2
IND00074,F044,reference,IND00044,IND00068,2
IND00075,F010,reference,IND00010,IND00049,2
IND00076,F023,reference,IND00023,IND00001,2
IND00077,F049,reference,IND00055,IND00054,2
IND00078,F049,reference,IND00055,IND00036,2
IND00079,F046,reference,IND00046,IND00007,2
IND00080,F049,reference,IND00055,IND00047,2
IND00081,F001,reference,IND00001,IND00005,2
IND00082,F026,reference,IND00026,IND00011,2
IND00083,F018,reference,IND00018,IND00037,2
IND00084,F033,reference,IND00073,IND00027,2
IND00085,F040,reference,IND00040,IND00038,2
IND00086,F036,reference,IND00036,IND00077,2
IND00087,F041,reference,IND00071,IND00017,2
IND00088,F041,reference,IND00041,IND00060,2
IND00089,F021,reference,IND00021,IND00066,2
IND00090,F042,reference,IND00042,IND00022,2
IND00091,F009,reference,IND00009,IND00090,2
IND00092,F009,reference,IND00009,IND00055,2
IND00093,F039,reference,IND00039,IND00032,2
IND00094,F033,reference,IND00069,IND00008,2
IND00095,F004,reference,IND00004,IND00016,2
IND00096,F021,reference,IND00053,IND00010,2
IND00097,F037,reference,IND00062,IND00070,2
IND00098,F044,reference,IND00044,IND00037,2
IND00099,F049,reference,IND00055,IND00041,2
IND00100,F009,reference,IND00009,IND00029,2
IND00101,F043,reference,IND00060,IND00005,3
IND00102,F036,reference,IND00036,IND00062,3
IND00103,F046,reference,IND00046,IND00013,3
IND00104,F023,reference,IND00023,IND00008,3
IND00105,F033,reference,IND00084,IND00058,3
IND00106,F023,reference,IND00076,IND00016,3
IND00107,F037,reference,IND00062,IND00084,3
IND00108,F043,reference,IND00043,IND00070,3
IND00109,F032,reference,IND00032,IND00074,3
IND00110,F041,reference,IND00071,IND00101,3
IND00111,F009,reference,IND00009,IND00021,3
IND00112,F029,reference,IND00072,IND00004,3
IND00113,F044,reference,IND00044,IND00034,3
IND00114,F035,reference,IND00035,IND00026,3
IND00115,F042,reference,IND00090,IND00038,3
IND00116,F046,reference,IND00046,IND00099,3
IND00117,F009,reference,IND00057,IND00069,3
IND00118,F027,reference,IND00027,IND00033,3
IND00119,F024,reference,IND00024,IND00043,3
IND00120,F044,reference,IND00074,IND00090,3
IND00121,F033,reference,IND00066,IND00070,3
IND00122,F049,reference,IND00049,IND00022,3
IND00123,F006,reference,IND00006,IND00087,3
