"id","sex","y_bin_qtl_snp","y_bin_qtl_mh","tbv_qtl_snp","tbv_qtl_mh"
"IND001","F",1,0,0.449964326189287,-1.4485724132595
"IND002","M",0,0,-0.89375907216923,-1.44241775202656
"IND003","M",1,0,0.354559419230726,-1.45284168918548
"IND004","M",0,0,-1.48435301726569,-0.703935448442606
"IND005","F",0,0,-0.350352835083045,-1.43814847610058
"IND006","M",1,0,0.449964326189287,-1.4485724132595
"IND007","F",1,0,0.49715203419956,-1.4485724132595
"IND008","M",1,0,1.04055827128575,-1.45284168918548
"IND009","F",0,0,-0.0934419108968987,-0.71435938560153
"IND010","F",0,0,0.354559419230726,-0.71435938560153
"IND011","F",1,0,2.28156244672556,-0.109368046183956
"IND012","F",0,0,-1.03635168713806,0.00992184394578058
"IND013","M",0,0,-0.34455329193374,-0.0444344130779783
"IND014","M",1,0,0.103448038193885,-1.02829248978262
"IND015","M",1,0,1.49435914456268,-0.853827336064284
"IND016","M",1,1,0.103448038193885,0.22383849725947
"IND017","F",1,1,0.103448038193885,0.00394485764940606
"IND018","M",0,0,-1.19205816121634,0.173775752174966
"IND019","M",1,1,0.347245103270584,-0.77864744073595
"IND020","M",1,1,1.49435914456268,-0.7830943915985
"IND021","F",0,1,-1.03635168713806,2.07356186742756
"IND022","M",1,1,1.58976405152124,1.00933655672901
"IND023","F",0,0,0.354559419230726,0.960957286001623
"IND024","M",1,1,-0.34455329193374,0.249819070496981
"IND025","F",1,1,1.58976405152124,2.94973187826676
"IND026","F",0,0,0.198852945152446,0.31457502866639
"IND027","M",1,0,1.04635781443505,-0.724605647823886
"IND028","M",0,0,-0.34455329193374,-1.78349913742458
"IND029","F",0,1,-0.492945450051878,-1.04019755423406
"IND030","M",0,1,-0.492945450051878,-0.162692161768484
"IND031","F",1,1,-0.89375907216923,0.423727329335027
"IND032","F",1,1,1.73235666649007,1.49374460591616
"IND033","F",1,1,1.34596698644454,2.30536446673795
"IND034","M",1,0,-0.34455329193374,0.423727329335027
"IND035","M",0,1,-0.34455329193374,1.50416854307508
"IND036","F",1,1,1.48855960141337,1.14751641983408
"IND037","F",0,1,-1.34176040229686,1.23534719015681
"IND038","F",1,1,0.897965656316912,1.22492325299789
"IND039","F",1,1,1.77954437450034,2.27633690430152
"IND040","M",1,1,-0.106555770006346,1.20631962772038
"IND041","M",1,1,0.0360368449624876,0.0915698198201524
"IND042","F",0,0,0.0360368449624876,-1.75088231092778
"IND043","M",1,1,0.727835240166812,0.305486473133842
"IND044","M",1,0,-0.649962007092531,-1.71758547256537
"IND045","M",0,1,-1.49746687637514,-1.90229688850606
"IND046","M",0,0,-0.948261096139645,-0.928838512947068
"IND047","M",1,1,1.57534010944942,0.892765743483016
"IND048","F",1,0,1.83356111659793,0.272011959834861
"IND049","F",0,1,0.184429003080626,0.311463459430216
"IND050","F",0,0,-1.3548742614063,-0.963843061679873
"IND051","M",0,0,-1.04946554624751,-0.983194769970827
"IND052","M",0,1,-0.906872931278677,0.16352948995261
"IND053","M",0,0,-0.663075866201979,0.240936323116425
"IND054","M",0,0,-1.45027916836486,0.0560472322391665
"IND055","F",0,1,-1.20648210328816,0.16352948995261
"IND056","M",0,1,-0.805668481170812,-1.06060160313464
"IND057","F",0,0,-1.5928717833337,-0.905787936807012
"IND058","F",0,0,-1.20648210328816,-1.16808386084809
"IND059","F",0,0,-0.758480773160539,-1.09067702768427
"IND060","M",1,0,-1.349074718257,-0.0987664340884636
"IND061","M",1,1,-0.106555770006346,0.458731878067832
"IND062","M",1,0,1.14176272139361,0.0773214683163752
"IND063","M",0,0,-0.79835416521067,1.07039710618344
"IND064","F",0,1,-0.350352835083045,1.00207882855217
"IND065","M",1,1,1.04055827128575,-0.718628661527512
"IND066","F",0,1,1.34596698644454,1.13842786430153
"IND067","M",0,1,0.198852945152446,-0.0100441075566183
"IND068","M",1,1,1.58976405152124,-0.0887863223468089
"IND069","F",0,1,0.0976484950445804,1.22625863462427
"IND070","M",1,1,0.198852945152446,0.0260083032893846
"IND071","F",1,1,0.89065134035677,0.518668556630675
"IND072","F",1,0,0.341445560121279,-0.714181710664962
"IND073","F",1,0,0.646854275280071,-0.516351516694877
"IND074","M",0,0,-0.357667151043187,-0.648090370869177
"IND075","F",0,1,-1.43585522629304,0.376683440234018
"IND076","F",1,0,-0.805668481170812,-0.505927579535953
"IND077","F",1,0,0.89065134035677,0.44126172346686
"IND078","F",0,0,0.198852945152446,-0.658514308028101
"IND079","M",0,0,-0.79835416521067,-0.561772657109381
"IND080","F",0,1,-1.64005949134397,-0.639001815336628
"IND081","F",0,0,-0.649962007092531,-1.14277940227403
"IND082","F",0,0,0.740949099276259,-0.0519002199240225
