"id","sex","age","y_continuous","y_binary"
"IND0001","F",5,-0.4443,0
"IND0002","M",4,1.0991,1
"IND0003","M",2,0.1096,1
"IND0004","F",3,-1.4686,0
"IND0005","M",4,1.9812,1
"IND0006","M",5,0.1019,1
"IND0007","F",5,-0.9882,0
"IND0008","M",1,-2.1168,0
"IND0009","M",4,-1.1401,0
"IND0010","M",1,1.0864,1
"IND0011","M",4,-1.6562,0
"IND0012","F",5,1.7269,1
"IND0013","F",5,-1.0271,0
"IND0014","M",4,-0.1722,0
"IND0015","M",4,0.0748,1
"IND0016","M",4,1.6792,1
"IND0017","F",2,-1.8274,0
"IND0018","M",1,1.456,1
"IND0019","F",2,-0.8262,0
"IND0020","M",3,1.4052,1
"IND0021","F",3,0.9975,1
"IND0022","M",4,-0.189,0
"IND0023","F",5,-0.8128,0
"IND0024","M",3,0.8455,1
"IND0025","M",4,0.117,1
"IND0026","F",3,-0.6123,0
"IND0027","F",1,0.1588,1
"IND0028","F",1,0.3741,1
"IND0029","M",5,1.1889,1
"IND0030","M",3,0.2452,1
"IND0031","M",1,-0.5888,0
"IND0032","F",5,0.4704,1
"IND0033","M",2,-2.097,0
"IND0034","M",4,-4.3884,0
"IND0035","F",4,-2.0029,0
"IND0036","F",2,-1.2114,0
"IND0037","F",4,0.0598,1
"IND0038","M",1,0.0943,1
"IND0039","F",3,-0.2714,0
"IND0040","M",3,-0.9165,0
"IND0041","M",5,-1.5926,0
"IND0042","F",4,-1.8152,0
"IND0043","M",3,-1.3237,0
"IND0044","F",5,-2.5257,0
"IND0045","M",5,2.6402,1
"IND0046","M",1,-3.4545,0
"IND0047","M",1,-1.9688,0
"IND0048","M",3,0.9313,1
"IND0049","F",3,1.713,1
"IND0050","M",3,-0.2998,0
"IND0051","M",4,-2.4631,0
"IND0052","F",2,1.9567,1
"IND0053","M",5,-0.9629,0
"IND0054","F",3,0.9544,1
"IND0055","F",4,3.1202,1
"IND0056","M",1,-1.4488,0
"IND0057","M",2,-1.4044,0
"IND0058","F",1,-0.1869,0
"IND0059","F",5,-3.9418,0
"IND0060","M",1,-1.3933,0
"IND0061","M",2,-0.6635,0
"IND0062","F",4,-0.8529,0
"IND0063","M",1,1.5578,1
"IND0064","M",4,1.0371,1
"IND0065","F",4,-0.3408,0
"IND0066","F",2,2.4888,1
"IND0067","M",5,-0.4249,0
"IND0068","M",2,-1.0532,0
"IND0069","M",1,2.8287,1
"IND0070","F",5,1.7254,1
"IND0071","F",5,1.5306,1
"IND0072","F",1,-0.5341,0
"IND0073","M",3,3.5095,1
"IND0074","M",2,2.793,1
"IND0075","F",4,-0.4417,0
"IND0076","M",2,-1.4815,0
"IND0077","F",1,-0.9759,0
"IND0078","F",5,-0.451,0
"IND0079","F",3,-4.7383,0
"IND0080","M",5,-0.774,0
"IND0081","M",2,1.1876,1
"IND0082","F",5,-0.4579,0
"IND0083","F",1,-0.6713,0
"IND0084","M",1,-1.3681,0
"IND0085","M",1,-1.6515,0
"IND0086","F",1,-0.4209,0
"IND0087","F",1,0.1201,1
"IND0088","M",4,1.248,1
"IND0089","M",1,-0.6315,0
"IND0090","F",4,-1.0047,0
"IND0091","M",2,1.2491,1
"IND0092","F",5,0.1877,1
"IND0093","F",5,2.2779,1
"IND0094","M",1,-5.1114,0
"IND0095","M",3,2.7971,1
"IND0096","F",1,1.6988,1
"IND0097","M",3,-0.6049,0
"IND0098","M",1,-1.6983,0
"IND0099","M",3,1.7214,1
"IND0100","F",3,-0.6714,0
"IND0101","M",1,-0.1893,0
"IND0102","M",2,1.1949,1
"IND0103","M",2,0.8461,1
"IND0104","M",4,-0.4272,0
"IND0105","M",2,-1.3571,0
"IND0106","F",3,0.7583,1
"IND0107","M",4,-1.2442,0
"IND0108","M",4,0.893,1
"IND0109","M",2,-1.1362,0
"IND0110","F",2,-0.3754,0
"IND0111","M",5,0.7033,1
"IND0112","M",3,0.5595,1
"IND0113","M",3,1.1251,1
"IND0114","M",4,1.536,1
"IND0115","M",2,0.7983,1
"IND0116","M",2,2.2956,1
"IND0117","F",3,-0.799,0
"IND0118","F",2,-2.1175,0
"IND0119","F",3,0.3493,1
"IND0120","M",1,-1.0442,0
"IND0121","M",1,0.8171,1
"IND0122","M",3,2.4671,1
"IND0123","M",5,-0.9574,0
"IND0124","M",1,-1.2949,0
"IND0125","F",5,-0.7303,0
"IND0126","F",2,-0.2482,0
"IND0127","F",3,-0.8512,0
"IND0128","F",2,-0.6804,0
"IND0129","F",3,2.3774,1
"IND0130","F",1,0.001,1
"IND0131","F",5,0.794,1
"IND0132","M",3,0.6699,1
"IND0133","F",5,0.0665,1
"IND0134","M",2,-1.8685,0
"IND0135","M",4,2.4938,1
"IND0136","M",5,0.304,1
"IND0137","M",5,-0.191,0
"IND0138","F",1,-3.9388,0
"IND0139","F",1,0.3204,1
"IND0140","F",5,-0.7412,0
"IND0141","F",4,-1.666,0
"IND0142","M",3,0.1415,1
"IND0143","M",3,0.622,1
"IND0144","F",1,0.2109,1
"IND0145","M",3,-0.3204,0
"IND0146","M",1,3.724,1
"IND0147","F",1,3.6577,1
"IND0148","M",1,1.5671,1
"IND0149","F",2,-0.1002,0
"IND0150","F",4,-1.2615,0
"IND0151","F",4,-0.0609,1
"IND0152","F",5,1.1396,1
"IND0153","F",1,0.5559,1
"IND0154","F",1,-1.2203,0
"IND0155","F",4,-1.3251,0
"IND0156","M",5,0.639,1
"IND0157","M",1,-0.9456,0
"IND0158","M",3,1.0751,1
"IND0159","F",1,-1.0255,0
"IND0160","M",5,2.3783,1
"IND0161","F",1,-1.911,0
"IND0162","F",1,0.1548,1
"IND0163","M",3,-2.8643,0
"IND0164","M",1,1.0169,1
"IND0165","F",5,3.0437,1
"IND0166","F",2,2.266,1
"IND0167","M",3,0.9986,1
"IND0168","F",1,0.9454,1
"IND0169","F",2,-0.4774,0
"IND0170","M",5,2.7047,1
"IND0171","F",1,-1.1464,0
"IND0172","F",5,-0.0596,1
"IND0173","M",4,1.0124,1
"IND0174","F",4,1.8595,1
"IND0175","F",2,-2.0069,0
"IND0176","F",1,1.1759,1
"IND0177","F",1,-1.1909,0
"IND0178","M",1,-2.5726,0
"IND0179","F",5,-1.2186,0
"IND0180","F",2,2.4597,1
"IND0181","F",2,2.1127,1
"IND0182","F",4,2.7264,1
"IND0183","F",1,0.3045,1
"IND0184","M",1,-0.1411,0
"IND0185","M",3,-1.0951,0
"IND0186","M",5,1.0872,1
"IND0187","F",2,-0.6268,0
"IND0188","F",3,1.5533,1
"IND0189","F",2,-0.4619,0
"IND0190","F",5,-1.5026,0
"IND0191","M",1,2.0778,1
"IND0192","F",5,1.367,1
"IND0193","M",3,-1.7626,0
"IND0194","M",4,0.4897,1
"IND0195","M",2,3.6749,1
"IND0196","F",3,-2.3802,0
"IND0197","F",5,-3.3094,0
"IND0198","M",5,2.4159,1
"IND0199","F",1,2.0387,1
"IND0200","M",1,1.9665,1
