"block_id","chr","start_pos","end_pos","n_snps"
"block_1",1,1000000,1100000,2
"block_2",1,1200000,1300000,2
"block_3",1,1400000,1500000,2
"block_4",1,1600000,1700000,2
"block_5",1,1800000,1900000,2
"block_6",2,1000000,1100000,2
"block_7",2,1200000,1300000,2
"block_8",2,1400000,1500000,2
"block_9",2,1600000,1700000,2
"block_10",2,1800000,1900000,2
"block_11",3,1000000,1100000,2
"block_12",3,1200000,1300000,2
"block_13",3,1400000,1500000,2
"block_14",3,1600000,1700000,2
"block_15",3,1800000,1900000,2
"block_16",4,1000000,1100000,2
"block_17",4,1200000,1300000,2
"block_18",4,1400000,1500000,2
"block_19",4,1600000,1700000,2
"block_20",4,1800000,1900000,2
"block_21",5,1000000,1100000,2
"block_22",5,1200000,1300000,2
"block_23",5,1400000,1500000,2
"block_24",5,1600000,1700000,2
"block_25",5,1800000,1900000,2
