block_id,chr,start_pos,end_pos,n_snps,physical_span_bp,pic,NA_col
blk1,1,6260,6260,1,0,0.4948,NA
blk2,1,9080,9080,1,0,0.4942,NA
blk3,1,75398,75398,1,0,0.4001,NA
blk4,1,75742,75742,1,0,0.2253,NA
blk5,1,180025,180025,1,0,0.3167,NA
blk6,1,186657,186657,1,0,0.194,NA
blk7,1,249033,249033,1,0,0.1756,NA
blk8,1,287752,287752,1,0,0.3303,NA
blk9,1,326154,326154,1,0,0.1822,NA
blk10,1,340447,340447,1,0,0.0866,NA
blk11,1,341097,341097,1,0,0.4506,NA
blk12,1,377659,377659,1,0,0.0681,NA
blk13,1,385213,385213,1,0,0.1206,NA
blk14,1,473190,473190,1,0,0.3158,NA
blk15,1,522507,522507,1,0,0.0632,NA
blk16,1,602030,602030,1,0,0.3164,NA
blk17,1,637967,637967,1,0,0.3201,NA
blk18,1,645792,645792,1,0,0.3533,NA
blk19,1,656515,656515,1,0,0.42,NA
blk20,1,730792,730792,1,0,0.4801,NA
blk21,1,822214,822214,1,0,0.4286,NA
blk22,1,865878,865878,1,0,0.1707,NA
blk23,1,1045953,1045953,1,0,0.1231,NA
blk24,1,1061925,1061925,1,0,0.4788,NA
blk25,1,1123937,1123937,1,0,0.2696,NA
blk26,1,1141278,1141278,1,0,0.2593,NA
blk27,1,1155668,1155668,1,0,0.4655,NA
blk28,1,1265334,1265334,1,0,0.3427,NA
blk29,1,1441057,1441057,1,0,0.4186,NA
blk30,1,1542217,1542217,1,0,0.4484,NA
blk31,1,1548421,1548421,1,0,0.0929,NA
blk32,1,1575770,1575770,1,0,0.4276,NA
blk33,1,1602883,1602883,1,0,0.1104,NA
blk34,1,1635149,1635149,1,0,0.3781,NA
blk35,1,1676121,1676121,1,0,0.2806,NA
blk36,1,1703581,1703581,1,0,0.2987,NA
blk37,1,1718789,1718789,1,0,0.1883,NA
blk38,1,1738635,1738635,1,0,0.4974,NA
blk39,1,1776355,1776355,1,0,0.1766,NA
blk40,1,1782625,1782625,1,0,0.493,NA
blk41,1,1793629,1793629,1,0,0.0936,NA
blk42,1,1872947,1872947,1,0,0.1826,NA
blk43,1,1923610,1923610,1,0,0.2736,NA
blk44,1,2005897,2005897,1,0,0.0953,NA
blk45,1,2019796,2019796,1,0,0.4473,NA
blk46,1,2036610,2036610,1,0,0.1304,NA
blk47,1,2160131,2160131,1,0,0.2855,NA
blk48,1,2180707,2180707,1,0,0.3842,NA
blk49,1,2182545,2182545,1,0,0.3182,NA
blk50,1,2384406,2384406,1,0,0.0511,NA
blk51,1,2418801,2418801,1,0,0.4484,NA
blk52,1,2442822,2442822,1,0,0.1416,NA
blk53,1,2557052,2557052,1,0,0.3896,NA
blk54,1,2629800,2629800,1,0,0.3144,NA
blk55,1,2660210,2660210,1,0,0.3436,NA
blk56,1,2684480,2684480,1,0,0.4307,NA
blk57,1,2708747,2708747,1,0,0.2878,NA
blk58,1,2709215,2709215,1,0,0.1691,NA
blk59,1,2723193,2723193,1,0,0.3329,NA
blk60,1,2763281,2763281,1,0,0.2036,NA
blk61,1,2779318,2779318,1,0,0.3953,NA
blk62,1,2782070,2782070,1,0,0.0845,NA
blk63,1,2810523,2810523,1,0,0.3315,NA
blk64,1,2814944,2814944,1,0,0.4233,NA
blk65,1,2949516,2949516,1,0,0.4745,NA
blk66,1,3036434,3036434,1,0,0.3374,NA
blk67,1,3062783,3062783,1,0,0.119,NA
blk68,1,3146830,3146830,1,0,0.3522,NA
blk69,1,3192935,3192935,1,0,0.2109,NA
blk70,1,3208140,3208140,1,0,0.3756,NA
blk71,1,3374923,3374923,1,0,0.1182,NA
blk72,1,3434198,3434198,1,0,0.1399,NA
blk73,1,3463197,3463197,1,0,0.4383,NA
blk74,1,3480507,3480507,1,0,0.4314,NA
blk75,1,3580813,3580813,1,0,0.3122,NA
blk76,1,3600925,3600925,1,0,0.3088,NA
blk77,1,3608749,3608749,1,0,0.2772,NA
blk78,1,3673147,3673147,1,0,0.3006,NA
blk79,1,3721860,3721860,1,0,0.4226,NA
blk80,1,3774551,3774551,1,0,0.0575,NA
blk81,1,3893508,3893508,1,0,0.4395,NA
blk82,1,3894086,3894086,1,0,0.4714,NA
blk83,1,3939118,3939118,1,0,0.3616,NA
blk84,1,3973723,3973723,1,0,0.3846,NA
blk85,1,4010892,4010892,1,0,0.0998,NA
blk86,1,4030453,4030453,1,0,0.1492,NA
blk87,1,4099608,4099608,1,0,0.3651,NA
blk88,1,4108807,4108807,1,0,0.1112,NA
blk89,1,4249728,4249728,1,0,0.1881,NA
blk90,1,4250485,4250485,1,0,0.4885,NA
blk91,1,4303430,4303430,1,0,0.266,NA
blk92,1,4308767,4308767,1,0,0.239,NA
blk93,1,4433853,4433853,1,0,0.3255,NA
blk94,1,4491203,4491203,1,0,0.2945,NA
blk95,1,4520533,4520533,1,0,0.0846,NA
blk96,1,4605259,4605259,1,0,0.3527,NA
blk97,1,4661508,4661508,1,0,0.3471,NA
blk98,1,4767072,4767072,1,0,0.2689,NA
blk99,1,4773150,4773150,1,0,0.3266,NA
blk100,1,4819147,4819147,1,0,0.1271,NA
blk101,2,62162,62162,1,0,0.0662,NA
blk102,2,81411,81411,1,0,0.3442,NA
blk103,2,117709,117709,1,0,0.4771,NA
blk104,2,119693,119693,1,0,0.2488,NA
blk105,2,163720,163720,1,0,0.098,NA
blk106,2,181830,181830,1,0,0.1573,NA
blk107,2,439930,439930,1,0,0.323,NA
blk108,2,447861,447861,1,0,0.3188,NA
blk109,2,478283,478283,1,0,0.1597,NA
blk110,2,538767,538767,1,0,0.3313,NA
blk111,2,555805,555805,1,0,0.3272,NA
blk112,2,583839,583839,1,0,0.2812,NA
blk113,2,588290,588290,1,0,0.4275,NA
blk114,2,608280,608280,1,0,0.2667,NA
blk115,2,611784,611784,1,0,0.1463,NA
blk116,2,643758,643758,1,0,0.3788,NA
blk117,2,684111,684111,1,0,0.0849,NA
blk118,2,710996,710996,1,0,0.3515,NA
blk119,2,785052,785052,1,0,0.2867,NA
blk120,2,792929,792929,1,0,0.3337,NA
blk121,2,852517,852517,1,0,0.0941,NA
blk122,2,903335,903335,1,0,0.3594,NA
blk123,2,938027,938027,1,0,0.4743,NA
blk124,2,1008602,1008602,1,0,0.4851,NA
blk125,2,1049669,1049669,1,0,0.1468,NA
blk126,2,1061945,1061945,1,0,0.3283,NA
blk127,2,1244867,1244867,1,0,0.2813,NA
blk128,2,1250961,1250961,1,0,0.1172,NA
blk129,2,1271474,1271474,1,0,0.3459,NA
blk130,2,1318829,1318829,1,0,0.3174,NA
blk131,2,1332942,1332942,1,0,0.2873,NA
blk132,2,1382436,1382436,1,0,0.1733,NA
blk133,2,1485092,1485092,1,0,0.3564,NA
blk134,2,1515405,1515405,1,0,0.2976,NA
blk135,2,1542711,1542711,1,0,0.1228,NA
blk136,2,1608166,1608166,1,0,0.4662,NA
blk137,2,1704673,1704673,1,0,0.4655,NA
blk138,2,1764373,1764373,1,0,0.1352,NA
blk139,2,1788436,1788436,1,0,0.2464,NA
blk140,2,1807862,1807862,1,0,0.0716,NA
blk141,2,1854165,1854165,1,0,0.1199,NA
blk142,2,1863956,1863956,1,0,0.1622,NA
blk143,2,1902621,1902621,1,0,0.4475,NA
blk144,2,1908386,1908386,1,0,0.2799,NA
blk145,2,1948242,1948242,1,0,0.3595,NA
blk146,2,1972034,1972034,1,0,0.3138,NA
blk147,2,1983660,1983660,1,0,0.4073,NA
blk148,2,2000775,2000775,1,0,0.4709,NA
blk149,2,2144445,2144445,1,0,0.4444,NA
blk150,2,2169918,2169918,1,0,0.406,NA
blk151,2,2201505,2201505,1,0,0.0962,NA
