block_id,chr,start_pos,end_pos,n_snps,physical_span_bp,pic,NA_col
blk1,1,1026,100555,133,99529,0.1361,NA
blk2,1,101753,200678,101,98925,0.4804,NA
blk3,1,202385,300083,96,97698,0.4012,NA
blk4,1,301323,399170,90,97847,0.2501,NA
blk5,1,402388,499845,80,97457,0.3244,NA
blk6,2,1526,100283,108,98757,0.3214,NA
blk7,2,101709,201226,95,99517,0.4787,NA
blk8,2,201597,301232,91,99635,0.4454,NA
blk9,2,303511,399959,109,96448,0.2972,NA
blk10,2,401629,497623,97,95994,0.4824,NA
blk11,3,1522,101046,106,99524,0.0616,NA
blk12,3,103213,200132,100,96919,0.437,NA
blk13,3,203048,300681,96,97633,0.3311,NA
blk14,3,301997,400958,111,98961,0.3455,NA
blk15,3,401633,496193,87,94560,0.2905,NA
blk16,4,1025,100824,111,99799,0.1961,NA
blk17,4,102215,200787,91,98572,0.3544,NA
blk18,4,201392,298077,110,96685,0.463,NA
blk19,4,301275,400964,94,99689,0.0749,NA
blk20,4,401107,497907,94,96800,0.2449,NA
blk21,5,1488,101182,74,99694,0.2388,NA
blk22,5,101559,201412,114,99853,0.1511,NA
blk23,5,201528,301226,130,99698,0.3926,NA
blk24,5,302263,399080,87,96817,0.2705,NA
blk25,5,401640,499084,95,97444,0.2666,NA
blk26,6,1183,101002,108,99819,0.1285,NA
blk27,6,101685,198561,97,96876,0.2339,NA
blk28,6,201974,300530,88,98556,0.2784,NA
blk29,6,301199,399540,105,98341,0.1492,NA
blk30,6,401778,499247,102,97469,0.2636,NA
blk31,7,2639,102284,102,99645,0.2393,NA
blk32,7,103464,201541,116,98077,0.3487,NA
blk33,7,205046,302004,85,96958,0.0701,NA
blk34,7,303265,400620,101,97355,0.2417,NA
blk35,7,403032,496710,96,93678,0.2001,NA
blk36,8,2778,102204,107,99426,0.2435,NA
blk37,8,103139,202295,96,99156,0.3437,NA
blk38,8,203704,302760,114,99056,0.2147,NA
blk39,8,302833,400562,85,97729,0.2642,NA
blk40,8,403087,499565,98,96478,0.4936,NA
blk41,9,1799,100900,98,99101,0.1807,NA
blk42,9,101908,201196,100,99288,0.3161,NA
blk43,9,203385,301234,110,97849,0.4105,NA
blk44,9,303547,401605,105,98058,0.4847,NA
blk45,9,401837,498444,87,96607,0.0749,NA
blk46,10,3831,103610,107,99779,0.0948,NA
blk47,10,105553,203444,116,97891,0.3915,NA
blk48,10,203981,303734,83,99753,0.0619,NA
blk49,10,304170,403258,102,99088,0.2533,NA
blk50,10,404500,497181,92,92681,0.2197,NA
