block_id,chr,start_pos,end_pos,n_snps,physical_span_bp,pic,NA_col
blk1,1,6260,75742,4,69482,0.1433,NA
blk2,1,180025,186657,2,6632,0.4431,NA
blk3,1,249033,287752,2,38719,0.3255,NA
blk4,1,326154,385213,5,59059,0.4835,NA
blk5,1,473190,473190,1,0,0.2838,NA
blk6,1,522507,602030,2,79523,0.3033,NA
blk7,1,637967,656515,3,18548,0.0652,NA
blk8,1,730792,730792,1,0,0.4243,NA
blk9,1,822214,865878,2,43664,0.4456,NA
blk10,1,1045953,1061925,2,15972,0.3165,NA
blk11,1,1123937,1155668,3,31731,0.4426,NA
blk12,1,1265334,1265334,1,0,0.3613,NA
blk13,1,1441057,1441057,1,0,0.4207,NA
blk14,1,1542217,1602883,4,60666,0.2472,NA
blk15,1,1635149,1703581,3,68432,0.4887,NA
blk16,1,1718789,1793629,5,74840,0.2124,NA
blk17,1,1872947,1872947,1,0,0.2473,NA
blk18,1,1923610,2005897,2,82287,0.4269,NA
blk19,1,2019796,2036610,2,16814,0.3538,NA
blk20,1,2160131,2182545,3,22414,0.1615,NA
blk21,1,2384406,2384406,1,0,0.108,NA
blk22,1,2418801,2442822,2,24021,0.1811,NA
blk23,1,2557052,2557052,1,0,0.4497,NA
blk24,1,2629800,2684480,3,54680,0.2901,NA
blk25,1,2708747,2782070,6,73323,0.1125,NA
blk26,1,2810523,2814944,2,4421,0.3219,NA
blk27,1,2949516,2949516,1,0,0.426,NA
blk28,1,3036434,3062783,2,26349,0.4602,NA
blk29,1,3146830,3192935,2,46105,0.3802,NA
blk30,1,3208140,3208140,1,0,0.2471,NA
blk31,1,3374923,3374923,1,0,0.3436,NA
blk32,1,3434198,3480507,3,46309,0.3026,NA
blk33,1,3580813,3600925,2,20112,0.4035,NA
blk34,1,3608749,3673147,2,64398,0.4619,NA
blk35,1,3721860,3774551,2,52691,0.3975,NA
blk36,1,3893508,3894086,2,578,0.1733,NA
blk37,1,3939118,3973723,2,34605,0.427,NA
blk38,1,4010892,4099608,3,88716,0.1146,NA
