block_id,chr,start_pos,end_pos,n_snps,physical_span_bp,pic,NA_col
blk1,1,1526,81411,10,79885,0.4258,NA
blk2,1,111207,187224,11,76017,0.2277,NA
blk3,1,203651,287752,6,84101,0.3731,NA
blk4,1,307284,385213,12,77929,0.1224,NA
blk5,1,438658,478283,12,39625,0.4646,NA
blk6,1,505546,588290,12,82744,0.4301,NA
blk7,1,602030,684111,13,82081,0.4004,NA
blk8,1,707394,797960,12,90566,0.1576,NA
blk9,1,822214,895012,8,72798,0.4186,NA
blk10,1,903335,990257,4,86922,0.162,NA
blk11,1,1008602,1080404,12,71802,0.388,NA
blk12,1,1105215,1192998,7,87783,0.223,NA
blk13,1,1201814,1287617,13,85803,0.3559,NA
blk14,1,1318829,1401237,11,82408,0.489,NA
blk15,1,1411138,1485092,7,73954,0.4996,NA
blk16,1,1505318,1581438,11,76120,0.3547,NA
blk17,1,1602883,1676121,10,73238,0.3048,NA
blk18,1,1703581,1800370,15,96789,0.4875,NA
blk19,1,1807862,1894850,8,86988,0.1646,NA
blk20,1,1902621,2000775,14,98154,0.2025,NA
blk21,1,2005897,2099653,10,93756,0.0904,NA
blk22,1,2131243,2201505,14,70262,0.3192,NA
blk23,1,2203389,2274318,6,70929,0.224,NA
blk24,1,2314748,2395509,13,80761,0.335,NA
blk25,1,2404024,2495139,7,91115,0.1937,NA
blk26,1,2534356,2600370,8,66014,0.407,NA
blk27,1,2606364,2698483,13,92119,0.1382,NA
blk28,1,2708747,2787657,15,78910,0.2491,NA
blk29,1,2803011,2888519,11,85508,0.387,NA
blk30,1,2903413,2990934,15,87521,0.096,NA
blk31,1,3012416,3070032,8,57616,0.4814,NA
blk32,1,3111990,3192935,7,80945,0.0605,NA
blk33,1,3208140,3283441,6,75301,0.4234,NA
blk34,1,3313289,3397820,11,84531,0.0991,NA
blk35,1,3434198,3491281,7,57083,0.3213,NA
blk36,1,3517467,3600925,10,83458,0.1735,NA
blk37,1,3608749,3693927,13,85178,0.3399,NA
blk38,1,3721860,3791536,11,69676,0.0662,NA
blk39,1,3823192,3894086,7,70894,0.074,NA
blk40,1,3905102,3973723,6,68621,0.3768,NA
blk41,1,4010892,4099608,9,88716,0.0717,NA
blk42,1,4107665,4174372,8,66707,0.2931,NA
blk43,1,4202431,4279452,10,77021,0.1155,NA
blk44,1,4303430,4400576,11,97146,0.138,NA
blk45,1,4433853,4491203,5,57350,0.3632,NA
blk46,1,4506815,4570067,11,63252,0.2455,NA
blk47,1,4605259,4683194,7,77935,0.2589,NA
blk48,1,4702406,4796763,15,94357,0.4253,NA
blk49,1,4801621,4898780,16,97159,0.3177,NA
blk50,1,4927862,4954109,2,26247,0.135,NA
blk51,2,11455,96326,12,84871,0.3531,NA
blk52,2,121345,208531,9,87186,0.0649,NA
blk53,2,227264,307444,10,80180,0.3537,NA
blk54,2,318283,386997,7,68714,0.2088,NA
blk55,2,415948,507845,15,91897,0.3594,NA
blk56,2,514919,597569,15,82650,0.4294,NA
blk57,2,631148,704956,7,73808,0.196,NA
blk58,2,725885,791234,15,65349,0.0672,NA
blk59,2,825234,896179,7,70945,0.1927,NA
blk60,2,920371,977185,8,56814,0.3529,NA
blk61,2,1019480,1101259,6,81779,0.3619,NA
blk62,2,1115422,1202634,9,87212,0.3383,NA
blk63,2,1234368,1298791,8,64423,0.2348,NA
blk64,2,1313229,1408149,7,94920,0.3008,NA
blk65,2,1418265,1507366,9,89101,0.3645,NA
blk66,2,1521890,1606401,11,84511,0.2851,NA
blk67,2,1614932,1695939,6,81007,0.1741,NA
blk68,2,1717499,1806820,13,89321,0.4508,NA
blk69,2,1825710,1911318,13,85608,0.2739,NA
blk70,2,1914784,2003579,6,88795,0.1604,NA
blk71,2,2024714,2110604,12,85890,0.0579,NA
blk72,2,2117877,2207107,9,89230,0.263,NA
blk73,2,2233332,2308805,14,75473,0.2006,NA
blk74,2,2313210,2410201,6,96991,0.3138,NA
blk75,2,2415738,2499160,9,83422,0.4474,NA
blk76,2,2533896,2606557,7,72661,0.2945,NA
blk77,2,2611489,2684842,8,73353,0.1324,NA
blk78,2,2717571,2807549,7,89978,0.3631,NA
blk79,2,2812328,2903781,13,91453,0.3357,NA
blk80,2,2912142,3006105,15,93963,0.0616,NA
blk81,2,3017074,3101780,14,84706,0.1717,NA
blk82,2,3129882,3210667,11,80785,0.3978,NA
blk83,2,3244316,3307578,5,63262,0.4874,NA
blk84,2,3320815,3393586,11,72771,0.4674,NA
blk85,2,3419229,3506664,9,87435,0.131,NA
blk86,2,3535848,3601587,11,65739,0.3622,NA
blk87,2,3622101,3709353,4,87252,0.2258,NA
blk88,2,3716151,3806236,17,90085,0.1434,NA
blk89,2,3815236,3906838,9,91602,0.2649,NA
blk90,2,3917249,4010480,12,93231,0.2665,NA
blk91,2,4018868,4108102,12,89234,0.4442,NA
blk92,2,4123697,4198005,11,74308,0.305,NA
blk93,2,4220443,4302971,10,82528,0.4332,NA
blk94,2,4312083,4388859,7,76776,0.2591,NA
blk95,2,4414657,4508260,6,93603,0.4378,NA
blk96,2,4516256,4599539,12,83283,0.4737,NA
blk97,2,4611789,4708297,15,96508,0.283,NA
