block_id,chr,start_pos,end_pos,n_snps,physical_span_bp,pic,NA_col
blk1,1,1102,100555,26,99453,0.2301,NA
blk2,1,101753,193504,18,91751,0.4536,NA
blk3,1,203504,300083,16,96579,0.4061,NA
blk4,1,302693,392481,23,89788,0.1427,NA
blk5,1,403306,499845,17,96539,0.2818,NA
blk6,2,2944,98017,30,95073,0.2372,NA
blk7,2,104648,196291,18,91643,0.2106,NA
blk8,2,203491,301323,20,97832,0.1623,NA
blk9,2,303707,399170,17,95463,0.3705,NA
blk10,2,429592,493387,15,63795,0.2528,NA
blk11,3,1026,98402,27,97376,0.0758,NA
blk12,3,102286,191450,19,89164,0.0977,NA
blk13,3,202385,293529,25,91144,0.1076,NA
blk14,3,314123,396759,16,82636,0.0696,NA
blk15,3,407581,494135,13,86554,0.178,NA
blk16,4,5615,99634,24,94019,0.1861,NA
blk17,4,110670,203351,22,92681,0.2234,NA
blk18,4,215572,298357,18,82785,0.2705,NA
blk19,4,308626,402388,18,93762,0.1098,NA
blk20,4,413739,491003,18,77264,0.241,NA
blk21,5,1235,97758,26,96523,0.1575,NA
blk22,5,101883,194344,25,92461,0.1698,NA
blk23,5,203651,285313,17,81662,0.3896,NA
blk24,5,315199,397881,16,82682,0.1488,NA
blk25,5,403220,495431,16,92211,0.0853,NA
