"block_id","chr","start_pos","end_pos","n_snps"
"block_1",1,1000000,1100000,2
"block_2",1,1200000,1300000,2
"block_3",1,1400000,1500000,2
"block_4",1,1600000,1700000,2
"block_5",1,1800000,1900000,2
"block_6",1,2000000,2100000,2
"block_7",1,2200000,2300000,2
"block_8",1,2400000,2500000,2
"block_9",1,2600000,2700000,2
"block_10",1,2800000,2900000,2
"block_11",1,3000000,3100000,2
"block_12",1,3200000,3300000,2
"block_13",1,3400000,3500000,2
"block_14",1,3600000,3700000,2
"block_15",1,3800000,3900000,2
"block_16",1,4000000,4100000,2
"block_17",1,4200000,4300000,2
"block_18",1,4400000,4500000,2
"block_19",1,4600000,4700000,2
"block_20",1,4800000,4900000,2
"block_21",1,5000000,5100000,2
"block_22",1,5200000,5300000,2
"block_23",1,5400000,5500000,2
"block_24",1,5600000,5700000,2
"block_25",1,5800000,5900000,2
"block_26",1,6000000,6100000,2
"block_27",1,6200000,6300000,2
"block_28",1,6400000,6500000,2
"block_29",1,6600000,6700000,2
"block_30",1,6800000,6900000,2
"block_31",1,7000000,7100000,2
"block_32",1,7200000,7300000,2
"block_33",1,7400000,7500000,2
"block_34",1,7600000,7700000,2
"block_35",1,7800000,7900000,2
"block_36",1,8000000,8100000,2
"block_37",1,8200000,8300000,2
"block_38",1,8400000,8500000,2
"block_39",1,8600000,8700000,2
"block_40",1,8800000,8900000,2
"block_41",1,9000000,9100000,2
"block_42",1,9200000,9300000,2
"block_43",1,9400000,9500000,2
"block_44",1,9600000,9700000,2
"block_45",1,9800000,9900000,2
"block_46",1,10000000,10100000,2
"block_47",1,10200000,10300000,2
"block_48",1,10400000,10500000,2
"block_49",1,10600000,10700000,2
"block_50",1,10800000,10900000,2
"block_51",2,1000000,1100000,2
"block_52",2,1200000,1300000,2
"block_53",2,1400000,1500000,2
"block_54",2,1600000,1700000,2
"block_55",2,1800000,1900000,2
"block_56",2,2000000,2100000,2
"block_57",2,2200000,2300000,2
"block_58",2,2400000,2500000,2
"block_59",2,2600000,2700000,2
"block_60",2,2800000,2900000,2
"block_61",2,3000000,3100000,2
"block_62",2,3200000,3300000,2
"block_63",2,3400000,3500000,2
"block_64",2,3600000,3700000,2
"block_65",2,3800000,3900000,2
"block_66",2,4000000,4100000,2
"block_67",2,4200000,4300000,2
"block_68",2,4400000,4500000,2
"block_69",2,4600000,4700000,2
"block_70",2,4800000,4900000,2
"block_71",2,5000000,5100000,2
"block_72",2,5200000,5300000,2
"block_73",2,5400000,5500000,2
"block_74",2,5600000,5700000,2
"block_75",2,5800000,5900000,2
"block_76",2,6000000,6100000,2
"block_77",2,6200000,6300000,2
"block_78",2,6400000,6500000,2
"block_79",2,6600000,6700000,2
"block_80",2,6800000,6900000,2
"block_81",2,7000000,7100000,2
"block_82",2,7200000,7300000,2
"block_83",2,7400000,7500000,2
"block_84",2,7600000,7700000,2
"block_85",2,7800000,7900000,2
"block_86",2,8000000,8100000,2
"block_87",2,8200000,8300000,2
"block_88",2,8400000,8500000,2
"block_89",2,8600000,8700000,2
"block_90",2,8800000,8900000,2
"block_91",2,9000000,9100000,2
"block_92",2,9200000,9300000,2
"block_93",2,9400000,9500000,2
"block_94",2,9600000,9700000,2
