block_id,chr,start_pos,end_pos,n_snps,physical_span_bp,pic,NA_col
blk1,1,1026,1102,3,76,0.2479,NA
blk2,1,1235,1235,1,0,0.3405,NA
blk3,1,2906,2944,2,38,0.0786,NA
blk4,1,3131,3131,1,0,0.2992,NA
blk5,1,3583,3583,1,0,0.1399,NA
blk6,1,5615,5615,1,0,0.0974,NA
blk7,1,6260,6260,1,0,0.1472,NA
blk8,1,6629,6629,1,0,0.1816,NA
blk9,1,7399,7399,1,0,0.1301,NA
blk10,1,8360,8360,1,0,0.3865,NA
blk11,1,9080,9080,1,0,0.1577,NA
blk12,1,9323,9323,1,0,0.3569,NA
blk13,1,9945,10022,2,77,0.317,NA
blk14,1,10360,10360,1,0,0.3387,NA
blk15,1,12248,12248,1,0,0.3091,NA
blk16,1,13349,13369,2,20,0.2878,NA
blk17,1,14479,14479,1,0,0.2816,NA
blk18,1,14609,14609,1,0,0.0905,NA
blk19,1,14971,14971,1,0,0.4266,NA
blk20,1,17100,17100,1,0,0.3778,NA
blk21,1,19103,19103,1,0,0.1645,NA
blk22,1,19869,19869,1,0,0.2935,NA
blk23,1,20997,21117,3,120,0.113,NA
blk24,1,22856,22928,2,72,0.3798,NA
blk25,1,23619,23619,1,0,0.3967,NA
blk26,1,24578,24578,1,0,0.1893,NA
blk27,1,26489,26489,1,0,0.2239,NA
blk28,1,26850,26850,1,0,0.3333,NA
blk29,1,30019,30135,2,116,0.2731,NA
blk30,1,31062,31062,1,0,0.1175,NA
blk31,1,31517,31517,1,0,0.0924,NA
blk32,1,35302,35392,2,90,0.1186,NA
blk33,1,37077,37077,1,0,0.4973,NA
blk34,1,37794,37794,1,0,0.2084,NA
blk35,1,38770,38770,1,0,0.395,NA
blk36,1,41327,41327,1,0,0.1895,NA
blk37,1,43762,43762,1,0,0.1462,NA
blk38,1,45528,45528,1,0,0.0743,NA
blk39,1,47207,47293,2,86,0.0674,NA
blk40,1,48480,48480,1,0,0.337,NA
blk41,1,49337,49337,1,0,0.1013,NA
blk42,1,51844,51844,1,0,0.4523,NA
blk43,1,53586,53586,1,0,0.4335,NA
blk44,1,53813,53813,1,0,0.3071,NA
blk45,1,54423,54423,1,0,0.3839,NA
blk46,1,54558,54558,1,0,0.1059,NA
blk47,1,55012,55012,1,0,0.4273,NA
blk48,1,55424,55424,1,0,0.063,NA
blk49,1,56181,56181,1,0,0.1982,NA
blk50,1,57255,57313,2,58,0.1693,NA
blk51,1,58044,58044,1,0,0.4968,NA
blk52,1,59551,59551,1,0,0.1888,NA
blk53,1,61261,61261,1,0,0.1623,NA
blk54,1,61988,61988,1,0,0.2985,NA
blk55,1,62162,62285,2,123,0.3271,NA
blk56,1,62412,62412,1,0,0.207,NA
blk57,1,62604,62640,2,36,0.2579,NA
blk58,1,62900,62979,3,79,0.2937,NA
blk59,1,63040,63040,1,0,0.3867,NA
blk60,1,63385,63385,1,0,0.4336,NA
blk61,1,63580,63580,1,0,0.3516,NA
blk62,1,64002,64083,2,81,0.4915,NA
blk63,1,67282,67282,1,0,0.2902,NA
blk64,1,67686,67686,1,0,0.3241,NA
blk65,1,68686,68686,1,0,0.1738,NA
blk66,1,68955,68955,1,0,0.2104,NA
blk67,1,70648,70648,1,0,0.3095,NA
blk68,1,70835,70835,1,0,0.4732,NA
blk69,1,72766,72766,1,0,0.3082,NA
blk70,1,73104,73104,1,0,0.3734,NA
blk71,1,74126,74126,1,0,0.1487,NA
blk72,1,75288,75398,3,110,0.0928,NA
blk73,1,75742,75742,1,0,0.2523,NA
blk74,1,76239,76239,1,0,0.3384,NA
blk75,1,77043,77043,1,0,0.2399,NA
blk76,1,77708,77742,2,34,0.1961,NA
blk77,1,78466,78466,1,0,0.2523,NA
blk78,1,79061,79061,1,0,0.3198,NA
blk79,1,79512,79512,1,0,0.4852,NA
blk80,1,80767,80767,1,0,0.2881,NA
blk81,1,81411,81411,1,0,0.2292,NA
blk82,1,83029,83029,1,0,0.1154,NA
blk83,1,83555,83555,1,0,0.1975,NA
blk84,1,83992,83992,1,0,0.2056,NA
blk85,1,84894,84894,1,0,0.4865,NA
blk86,1,85393,85393,1,0,0.3904,NA
blk87,1,86126,86126,1,0,0.1836,NA
blk88,1,86550,86550,1,0,0.1895,NA
blk89,1,87307,87307,1,0,0.3155,NA
blk90,1,87496,87496,1,0,0.2343,NA
blk91,1,87775,87775,1,0,0.2113,NA
blk92,1,89395,89395,1,0,0.3178,NA
blk93,1,89746,89746,1,0,0.2801,NA
blk94,1,90244,90244,1,0,0.4814,NA
blk95,1,90844,90844,1,0,0.1697,NA
blk96,1,92544,92544,1,0,0.053900000000000003,NA
blk97,1,92702,92702,1,0,0.3142,NA
blk98,1,93302,93425,2,123,0.3557,NA
